Front	Back	Tags
Какой инструмент в Go приводит код к стандартному стилю форматирования?	`go fmt`.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Команда go fmt<br><b>Quote:</b> Go не делает этого. Он обязывает использовать стандартный формат	go backend anki_cards level_1_foundations tooling formatting gofmt bodner chapter_1
Что в Go ищет `go vet`?	Синтаксически корректный код, который, вероятно, логически неверен.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Команда go vet<br><b>Quote:</b> код синтаксически корректен, но, скорее всего, неверен	go backend anki_cards level_1_foundations tooling vet static_analysis bodner chapter_1
В чем практический смысл `go run`?	Он собирает временный исполняемый файл, запускает его и удаляет после завершения.<br><br><b>Source file:</b> Golang для профи Создаем профессиональные утилиты, параллельные серверы и сервисы. 3-е издание 2024.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Использование Go в качестве языка скриптов<br><b>Quote:</b> Команда go run создает ... временный исполняемый файл, выполняет его и удаляет после завершения	go backend anki_cards level_1_foundations tooling gorun czukalos chapter_1
Когда вместо `go run` лучше использовать `go build`?	Когда нужно создать и распространять исполняемый бинарь.<br><br><b>Source file:</b> Golang для профи Создаем профессиональные утилиты, параллельные серверы и сервисы. 3-е издание 2024.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Компиляция Go-кода<br><b>Quote:</b> Если вы хотите создать и распространить исполняемый двоичный файл, то лучше использовать команду go build	go backend anki_cards level_1_foundations tooling gobuild czukalos chapter_1
Какой тезис из книги Боднера описывает идиоматичный дизайн API в Go?	Принимайте интерфейсы, возвращайте структуры.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 7<br><b>Subchapter:</b> Принимайте интерфейсы, возвращайте структуры<br><b>Quote:</b> Принимайте интерфейсы и возвращайте структуры	go backend anki_cards level_1_foundations api_design interfaces bodner chapter_7
Какой базовый взгляд на ошибки продвигает Go?	Ошибки являются значениями.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 9<br><b>Subchapter:</b> Ошибки являются значениями<br><b>Quote:</b> Ошибки являются значениями	go backend anki_cards level_1_foundations errors bodner chapter_9
Какой тезис из книги Харшани описывает кривую обучения Go?	Go прост в изучении, но не всегда легок в освоении.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 1<br><b>Subchapter:</b> Просто не означает легко<br><b>Quote:</b> Go прост в изучении, но не всегда легок в освоении	go backend anki_cards level_1_foundations learning harshanyi chapter_1
Почему в Go рекомендуется возвращать concrete types, а не интерфейсы?	Потому что concrete type можно расширять новыми полями и методами без ломки существующего кода.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 7<br><b>Subchapter:</b> Принимайте интерфейсы, возвращайте структуры<br><b>Quote:</b> Когда функция возвращает конкретный тип, вы можете добавлять в него новые методы и поля, не нарушая работу существующего кода	go backend anki_cards level_2_core_understanding api_design interfaces concrete_types bodner chapter_7
Что такое затенение переменной в Go и чем оно опасно?	Это повторное объявление имени во внутреннем scope; оно может привести к ошибкам, когда используется не та переменная.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Ошибка #1: непреднамеренно затенять переменные<br><b>Quote:</b> Такая ситуация называется затенением переменной и может приводить к распространенным ошибкам	go backend anki_cards level_2_core_understanding variables shadowing harshanyi chapter_2
Какая архитектурная ошибка описывается как “интерфейсы на стороне производителя”?	Преждевременное объявление интерфейсов провайдером вместо того, чтобы дать им сформироваться из потребностей клиента.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Ошибка #6: интерфейсы на стороне производителя<br><b>Quote:</b> интерфейсы на стороне производителя	go backend anki_cards level_2_core_understanding api_design interfaces producer_side harshanyi chapter_2
Какой паттерн конфигурации в Go моделирует опции как функции над скрытой структурой настроек?	Паттерн функциональных опций.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Паттерн функциональных опций<br><b>Quote:</b> Каждая из ее опций представляет собой функцию, которая возвращает ошибку одного и того же типа: type Option func(options *options) error	go backend anki_cards level_2_core_understanding configuration functional_options harshanyi chapter_2
Как обычно передаются функциональные опции в constructor API?	Как variadic arguments `opts ...Option`.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Паттерн функциональных опций<br><b>Quote:</b> Мы будем передавать параметры как вариативные аргументы	go backend anki_cards level_2_core_understanding configuration functional_options variadic harshanyi chapter_2
Что книга Цукалоса рекомендует для глобальных CLI-флагов в cobra?	Определять их через `rootCmd.PersistentFlags()`.<br><br><b>Source file:</b> Golang для профи Создаем профессиональные утилиты, параллельные серверы и сервисы. 3-е издание 2024.pdf<br><b>Chapter:</b> 6<br><b>Subchapter:</b> Добавление флагов командной строки<br><b>Quote:</b> Мы используем rootCmd.PersistentFlags() для определения глобальных флагов	go backend anki_cards level_2_core_understanding cli cobra flags czukalos chapter_6
Как связать флаги cobra с централизованной конфигурацией viper?	После объявления флагов привязать их через `viper.BindPFlag()`.<br><br><b>Source file:</b> Golang для профи Создаем профессиональные утилиты, параллельные серверы и сервисы. 3-е издание 2024.pdf<br><b>Chapter:</b> 6<br><b>Subchapter:</b> Добавление флагов командной строки<br><b>Quote:</b> После определения двух флагов мы передаем управление viper, вызывая viper.BindPFlag()	go backend anki_cards level_3_practical_usage cli cobra viper configuration czukalos chapter_6
Какой внешний статический анализатор книга Боднера советует брать первым выбором?	`staticcheck`.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 11<br><b>Subchapter:</b> Использование сканеров качества кода<br><b>Quote:</b> Если вам нужно выбрать какой­то один сторонний сканер, то выбирайте staticcheck	go backend anki_cards level_3_practical_usage tooling staticcheck bodner chapter_11
Какую базовую инженерную привычку подчеркивает Цукалос для `go vet`?	Его стоит включать в обычный рабочий процесс.<br><br><b>Source file:</b> Golang для профи Создаем профессиональные утилиты, параллельные серверы и сервисы. 3-е издание 2024.pdf<br><b>Chapter:</b> 11<br><b>Subchapter:</b> go vet / staticcheck<br><b>Quote:</b> Как правило, включение go vet в ваш рабочий процесс пойдет только на пользу	go backend anki_cards level_3_practical_usage tooling vet workflow czukalos chapter_11
Что идиоматично делать с ошибкой, если нужно сохранить контекст места сбоя?	Оборачивать ошибку.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 9<br><b>Subchapter:</b> Обертывание ошибок<br><b>Quote:</b> Обертывание ошибок	go backend anki_cards level_3_practical_usage errors wrapping bodner chapter_9
Какой примитив более высокого уровня стоит рассматривать для группы взаимосвязанных горутин вместо ручной координации?	`errgroup`.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 9<br><b>Subchapter:</b> Ошибка #73: не использовать errgroup<br><b>Quote:</b> не использовать errgroup	go backend anki_cards level_3_practical_usage concurrency errgroup harshanyi chapter_9
Почему конкурентность нельзя считать автоматической оптимизацией?	Потому что она не всегда ускоряет код и часто делает его менее понятным.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 12<br><b>Subchapter:</b> Когда следует использовать конкурентность<br><b>Quote:</b> Дополнительное использование конкурентности не всегда ведет к повышению производительности и часто делает код менее понятным	go backend anki_cards level_4_tradeoffs concurrency performance readability bodner chapter_12
Как Харшани формулирует ключевой риск неверного применения конкурентности?	Конкурентность не всегда быстрее.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 8<br><b>Subchapter:</b> Ошибка #56<br><b>Quote:</b> конкурентность не всегда быстрее	go backend anki_cards level_4_tradeoffs concurrency performance harshanyi chapter_8
Какой стартовый подход к оптимизации конкурентностью рекомендует Харшани?	Начать с простой последовательной версии и уже от нее идти к измерениям.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 8<br><b>Subchapter:</b> Ошибка #56<br><b>Quote:</b> правильным подходом будет начать с простой последовательной версии	go backend anki_cards level_4_tradeoffs concurrency baseline profiling harshanyi chapter_8
Почему возврат интерфейсов часто считается плохим дизайном API?	Потому что он ограничивает развитие API сильнее, чем возврат concrete type.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Ошибка #7: возврат интерфейсов<br><b>Quote:</b> возврат интерфейсов	go backend anki_cards level_4_tradeoffs api_design interfaces harshanyi chapter_2
Чем конкурентность отличается от параллелизма в модели Go по Боднеру?	Конкурентность — это не про ускорение само по себе, а инструмент структурирования задачи.<br><br><b>Source file:</b> Go идиомы и паттерны проектирования - Джон Боднер 2-е изд.pdf<br><b>Chapter:</b> 12<br><b>Subchapter:</b> Когда следует использовать конкурентность<br><b>Quote:</b> Конкурентность — это не параллелизм. Конкурентность — это инструмент, позволяющий лучше структурировать решаемую задачу	go backend anki_cards level_5_system_thinking concurrency parallelism bodner chapter_12
Какие три базовые оси ответственности несет `context` в Go?	Deadline, сигнал отмены и значения контекста.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 8<br><b>Subchapter:</b> Ошибка #60: неверно понимать контексты Go<br><b>Quote:</b> Крайний срок / Сигналы отмены / Значения контекстов	go backend anki_cards level_5_system_thinking concurrency context harshanyi chapter_8
Почему линтеры входят в core engineering hygiene, а не являются факультативной опцией?	Потому что отказ от них сам по себе рассматривается как типичная ошибка организации проекта.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 2<br><b>Subchapter:</b> Ошибка #16: не использовать линтеры<br><b>Quote:</b> не использовать линтеры	go backend anki_cards level_5_system_thinking tooling linters harshanyi chapter_2
Почему `WaitGroup` не закрывает все задачи orchestration конкурентного кода?	Потому что его неправильное использование само по себе является типичной ошибкой, а для координации ошибок нужен более высокий уровень.<br><br><b>Source file:</b> 100 ошибок Go и как их избежать.pdf<br><b>Chapter:</b> 9<br><b>Subchapter:</b> Ошибка #71: неправильно использовать sync.WaitGroup<br><b>Quote:</b> неправильно использовать sync.WaitGroup	go backend anki_cards level_5_system_thinking concurrency waitgroup harshanyi chapter_9